,TAPD,OAP,PODT,POKT,ADNT_RANK,ADAT_RANK
TAPD,1.0,-0.6004794767455,-0.14629754281691318,0.4023125449181634,-0.08403176267452607,-0.0768531183401624
OAP,-0.6004794767455,1.0,0.32700771718453514,-0.6014211981706391,0.05078902315422753,0.047335711052191566
PODT,-0.14629754281691318,0.32700771718453514,1.0,-0.0907680838817258,0.03269820705258586,0.09826800878680786
POKT,0.4023125449181634,-0.6014211981706391,-0.0907680838817258,1.0,-0.23015928261188803,-0.15922543404398978
ADNT_RANK,-0.08403176267452607,0.05078902315422753,0.03269820705258586,-0.23015928261188803,1.0,0.9193986468422221
ADAT_RANK,-0.0768531183401624,0.047335711052191566,0.09826800878680786,-0.15922543404398978,0.9193986468422221,1.0
