role,n,mahal_d_sq,oap_contrib,tapd_contrib,podt_contrib,pokt_contrib,adnt_contrib,adat_contrib
Anchor,23,2.062,0.614,0.182,0.005,0.012,1.166,1.859
AWPer,17,1.895,0.182,0.272,0.148,0.016,0.002,0.332
Rotator,27,1.604,0.421,0.517,0.037,0.0,1.265,1.132
Mixed,17,0.354,0.114,0.006,0.043,0.057,0.02,0.112
