,TAPD,OAP,PODT,POKT,ADNT_RANK,ADAT_RANK
TAPD,1.0,-0.5671291315580437,-0.1121697906421572,0.09434570564086979,0.20432329866795343,0.20725035615449938
OAP,-0.5671291315580437,1.0,0.09913713867511693,-0.30993361691916277,-0.1950639681632837,-0.31256993607200306
PODT,-0.1121697906421572,0.09913713867511693,1.0,0.09026626785755909,-0.11740013402591395,-0.05991263802237351
POKT,0.09434570564086979,-0.30993361691916277,0.09026626785755909,1.0,-0.21368322394931027,-0.022090096548048017
ADNT_RANK,0.20432329866795343,-0.1950639681632837,-0.11740013402591395,-0.21368322394931027,1.0,0.780787063584396
ADAT_RANK,0.20725035615449938,-0.31256993607200306,-0.05991263802237351,-0.022090096548048017,0.780787063584396,1.0
